qitop,nitop
1.9475472748768522e-07,31319.747950989775
4.0324547624057357e-07,23901.026866260872
6.172560083286404e-07,20405.205318388646
8.349317944991545e-07,18239.581179122197
1.0553742973002236e-06,16719.371842111144
1.2780469889059655e-06,15571.816263960822
1.5025915789681368e-06,14663.242695507392
1.7287512012898235e-06,13919.164371109471
1.9563323814149698e-06,13294.245047474527
2.1851839830373257e-06,12759.047621029003
2.415184584189461e-06,12293.487703370201
2.6462344372708698e-06,11883.313986556006
2.8782501004077742e-06,11518.086904258751
3.1111607131302873e-06,11189.954598620905
3.3449053301433802e-06,10892.878696425854
3.5794309614879994e-06,10622.126401220772
3.8146910991558304e-06,10373.926795476367
4.050644587707979e-06,10145.231964943152
4.287254743813338e-06,9933.547069479702
4.5244886595570725e-06,9736.806964580916
4.762316643845004e-06,9553.284985032435
5.0007117692275445e-06,9381.524408756084
5.23964950033981e-06,9220.286209538703
5.47910738633532e-06,9068.508702475461
5.719064804074496e-06,8925.276002610522
5.959502741990182e-06,8789.793103616468
6.200403616865343e-06,8661.365990913613
6.441751117474224e-06,8539.385626997857
6.68353007032673e-06,8423.314946241595
6.925726323735013e-06,8312.678211255126
7.168326647172774e-06,8207.05223896548
7.411318643480685e-06,8106.059119303142
7.654690671926926e-06,8009.3601346631385
7.898431780491876e-06,7916.650652339253
8.142531646031565e-06,7827.655810670745
8.386980521203975e-06,7742.126856767758
8.631769187226732e-06,7659.8380223157465
8.876888911685002e-06,7580.5838462182855
9.122331410730713e-06,7504.176870268072
9.368088815115055e-06,7430.445647781466
9.614153639579215e-06,7359.233016042296
9.860518755197441e-06,7290.394592115193
1.0107177364324016e-05,7223.797458590065
1.0354122977844065e-05,7159.319011476117
1.0601349394468745e-05,7096.845947058362
1.0848850681849612e-05,7036.2733682802445
1.1096621159316307e-05,6977.503994292816
1.1344655382066322e-05,6920.447459346071
1.1592948126657016e-05,6865.019689296574
1.1841494377668176e-05,6811.142345749499
1.2090289315419108e-05,6758.742329308534
1.2339328304637895e-05,6707.751334626324
1.2588606883992e-05,6658.1054509729565
1.2838120756399802e-05,6609.74480290485
1.3087865780051277e-05,6562.61322634852
